Province,2013,2014,2015,2016,2017
"('Federal', 'General/M&P/Investment')",15.0,15.0,15.0,15.0,15.0
"('British Columbia', 'General/M&P/Investment')",10.5,11.0,11.0,11.0,11.0
"('Alberta', 'General/M&P/Investment')",10.0,11.0,10.0,12.0,12.0
"('Saskatchewan', 'General/Investment')",12.0,12.0,12.0,12.0,11.75
"('Manitoba', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
"('Ontario', 'General/Investment')",11.5,11.5,11.5,11.5,11.5
"('Quebec', 'General/Investment/M&P')",11.9,11.9,11.9,11.9,11.8
"('New Brunswick', 'General/M&P/Investment')",10.0,12.0,12.0,14.0,14.0
"('Nova Scotia', 'General/M&P/Investment')",16.0,16.0,16.0,16.0,16.0
"('Prince Edward Island', 'General/Investment/M&P')",16.0,16.0,16.0,16.0,16.0
"('Newfoundland and Labrador', 'General/Investment')",14.0,14.0,14.0,15.0,15.0
"('Yukon', 'General/Investment')",15.0,15.0,15.0,15.0,12.0
"('Northwest Territories', 'General/M&P/Investment')",11.5,11.5,11.5,11.5,11.5
"('Nunavut', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
