Province,2013,2014,2015,2016,2017
"('Federal', 'General/M&P/Investment')",15.0,15.0,15.0,15.0,15.0
"('British Columbia', 'General/M&P/Investment')",10.5,11.0,11.0,11.0,11.0
"('Alberta', 'General/M&P/Investment')",10.0,11.0,10.0,12.0,12.0
"('Saskatchewan', 'M&P')",10.0,10.0,10.0,10.0,9.5
"('Manitoba', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
"('Ontario', 'M&P')",10.0,10.0,10.0,10.0,10.0
"('Quebec', 'Small business (M&P)')",8.0,6.0,4.0,4.0,4.0
"('New Brunswick', 'General/M&P/Investment')",10.0,12.0,12.0,14.0,14.0
"('Nova Scotia', 'General/M&P/Investment')",16.0,16.0,16.0,16.0,16.0
"('Prince Edward Island', 'General/Investment/M&P')",16.0,16.0,16.0,16.0,16.0
"('Newfoundland and Labrador', 'M&P')",5.0,5.0,5.0,15.0,15.0
"('Yukon', 'M&P (small business)')",2.5,1.5,1.5,1.5,1.5
"('Northwest Territories', 'General/M&P/Investment')",11.5,11.5,11.5,11.5,11.5
"('Nunavut', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
