Province,2013,2014,2015,2016,2017
"('Federal', 'Small business')",11.0,11.0,11.0,10.5,10.5
"('British Columbia', 'Small business')",2.5,2.5,2.5,2.5,2.5
"('Alberta', 'Small business')",3.0,3.0,3.0,3.0,2.0
"('Saskatchewan', 'Small business')",2.0,2.0,2.0,2.0,2.0
"('Manitoba', 'Small business')",0.0,0.0,0.0,0.0,0.0
"('Ontario', 'Small business')",4.5,4.5,4.5,4.5,4.5
"('Quebec', 'Small business (regular)')",8.0,8.0,8.0,8.0,8.0
"('New Brunswick', 'Small business')",4.5,4.5,4.0,3.5,3.0
"('Nova Scotia', 'Small business')",3.5,3.0,3.0,3.0,3.0
"('Prince Edward Island', 'Small business')",1.0,4.5,4.5,4.5,4.5
"('Newfoundland and Labrador', 'Small business')",4.0,3.0,3.0,3.0,3.0
"('Yukon', 'Small business')",4.0,3.0,3.0,3.0,2.0
"('Northwest Territories', 'Small business')",4.0,4.0,4.0,4.0,4.0
"('Nunavut', 'Small business')",4.0,4.0,4.0,4.0,4.0
