Province,2016,2017,2018,2019,2020
"('Federal23', 'General/M&P/Investment')",15.0,15.0,15.0,15.0,15.0
"('British Columbia4', 'General/M&P/Investment')",11.0,11.0,12.0,12.0,12.0
"('Alberta5', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,10.0
"('Saskatchewan6', 'M&P')",10.0,10.0,9.5,10.0,10.0
"('Manitoba7', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
"('Ontario8', 'M&P')",10.0,10.0,10.0,10.0,10.0
"('Quebec9', 'General/Investment/M&P')",11.9,11.8,11.7,11.6,11.5
"('Quebec9', 'Small business (non M&P)')",8.0,8.0,7.0,6.0,5.0
"('Quebec9', 'Small business (M&P)')",4.0,4.0,4.0,4.0,4.0
"('New Brunswick10', 'General/M&P/Investment')",12.0,14.0,14.0,14.0,14.0
"('Nova Scotia11', 'General/M&P/Investment')",16.0,16.0,16.0,16.0,16.0
"('Prince Edward Island12', 'General/Investment/M&P')",16.0,16.0,16.0,16.0,16.0
"('Newfoundland and Labrador13', 'General/Investment/M&P')",15.0,15.0,15.0,15.0,15.0
"('Yukon14', 'Small business (non M&P)')",3.0,3.0,2.0,2.0,2.0
"('Yukon14', 'M&P')",2.5,2.5,2.5,2.5,2.5
"('Yukon14', 'Small business (M&P)')",1.5,1.5,1.5,1.5,1.5
"('Northwest Territories15', 'General/M&P/Investment')",11.5,11.5,11.5,11.5,11.5
"('Nunavut16', 'General/M&P/Investment')",12.0,12.0,12.0,12.0,12.0
