Province,2016,2017,2018,2019,2020
"('Federal23', 'Small business')",10.5,10.5,10.0,9.0,9.0
"('British Columbia4', 'Small business')",2.5,2.5,2.0,2.0,2.0
"('Alberta5', 'Small business')",3.0,2.0,2.0,2.0,2.0
"('Saskatchewan6', 'Small business')",2.0,2.0,2.0,2.0,2.0
"('Manitoba7', 'Small business')",0.0,0.0,0.0,0.0,0.0
"('Ontario8', 'Small business')",4.5,4.5,3.5,3.5,3.2
"('Quebec9', 'Small business (non M&P)')",8.0,8.0,7.0,6.0,5.0
"('New Brunswick10', 'Small business')",4.0,3.5,3.0,2.5,2.5
"('Nova Scotia11', 'Small business')",3.0,3.0,3.0,3.0,3.0
"('Prince Edward Island12', 'Small business')",4.5,4.5,4.0,3.5,3.0
"('Newfoundland and Labrador13', 'Small business')",3.0,3.0,3.0,3.0,3.0
"('Yukon14', 'Small business (non M&P)')",3.0,3.0,2.0,2.0,2.0
"('Northwest Territories15', 'Small business')",4.0,4.0,4.0,4.0,4.0
"('Nunavut16', 'Small business')",4.0,4.0,4.0,3.0,3.0
